cluster,cluster_label,pathway,n_carriers,frequency_pct,mean_count_affected,mean_count_overall
0,Cluster_0_Mild,Proteostasis,245,0.0,0.0,0.0
0,Cluster_0_Mild,RNA_Metabolism,245,0.0,0.0,0.0
0,Cluster_0_Mild,Cytoskeletal_Axonal_Transport,245,0.0,0.0,0.0
0,Cluster_0_Mild,Mitochondrial,245,13.1,1.0,0.13
0,Cluster_0_Mild,Excitotoxicity,245,0.0,0.0,0.0
0,Cluster_0_Mild,Vesicle_Trafficking,245,45.7,1.0,0.46
0,Cluster_0_Mild,DNA_Damage,245,42.0,1.0,0.42
1,Cluster_1_Moderate_SOD1,Proteostasis,3412,64.6,1.06,0.69
1,Cluster_1_Moderate_SOD1,RNA_Metabolism,3412,7.2,1.01,0.07
1,Cluster_1_Moderate_SOD1,Cytoskeletal_Axonal_Transport,3412,4.3,1.0,0.04
1,Cluster_1_Moderate_SOD1,Mitochondrial,3412,46.9,1.02,0.48
1,Cluster_1_Moderate_SOD1,Excitotoxicity,3412,50.4,1.02,0.51
1,Cluster_1_Moderate_SOD1,Vesicle_Trafficking,3412,34.3,1.04,0.36
1,Cluster_1_Moderate_SOD1,DNA_Damage,3412,16.0,1.02,0.16
2,Cluster_2_Severe,Proteostasis,1767,72.9,1.18,0.86
2,Cluster_2_Severe,RNA_Metabolism,1767,26.9,1.03,0.28
2,Cluster_2_Severe,Cytoskeletal_Axonal_Transport,1767,3.1,1.0,0.03
2,Cluster_2_Severe,Mitochondrial,1767,35.5,1.08,0.38
2,Cluster_2_Severe,Excitotoxicity,1767,15.6,1.03,0.16
2,Cluster_2_Severe,Vesicle_Trafficking,1767,13.6,1.03,0.14
2,Cluster_2_Severe,DNA_Damage,1767,9.8,1.04,0.1
4,Cluster_4_Moderate_ALS2,Proteostasis,619,24.7,1.03,0.25
4,Cluster_4_Moderate_ALS2,RNA_Metabolism,619,11.6,1.0,0.12
4,Cluster_4_Moderate_ALS2,Cytoskeletal_Axonal_Transport,619,12.0,1.01,0.12
4,Cluster_4_Moderate_ALS2,Mitochondrial,619,12.0,1.0,0.12
4,Cluster_4_Moderate_ALS2,Excitotoxicity,619,8.4,1.02,0.09
4,Cluster_4_Moderate_ALS2,Vesicle_Trafficking,619,32.3,1.0,0.32
4,Cluster_4_Moderate_ALS2,DNA_Damage,619,21.6,1.0,0.22
