cluster,cluster_label,pathway,count,pct,n_carriers
0,Cluster_0_Mild,Proteostasis,0,0.0,245
0,Cluster_0_Mild,RNA_Metabolism,0,0.0,245
0,Cluster_0_Mild,Cytoskeletal_Axonal_Transport,0,0.0,245
0,Cluster_0_Mild,Mitochondrial,32,13.1,245
0,Cluster_0_Mild,Excitotoxicity,0,0.0,245
0,Cluster_0_Mild,Vesicle_Trafficking,112,45.7,245
0,Cluster_0_Mild,DNA_Damage,103,42.0,245
1,Cluster_1_Moderate_SOD1,Proteostasis,2203,64.6,3412
1,Cluster_1_Moderate_SOD1,RNA_Metabolism,246,7.2,3412
1,Cluster_1_Moderate_SOD1,Cytoskeletal_Axonal_Transport,146,4.3,3412
1,Cluster_1_Moderate_SOD1,Mitochondrial,1599,46.9,3412
1,Cluster_1_Moderate_SOD1,Excitotoxicity,1718,50.4,3412
1,Cluster_1_Moderate_SOD1,Vesicle_Trafficking,1169,34.3,3412
1,Cluster_1_Moderate_SOD1,DNA_Damage,545,16.0,3412
2,Cluster_2_Severe,Proteostasis,1288,72.9,1767
2,Cluster_2_Severe,RNA_Metabolism,475,26.9,1767
2,Cluster_2_Severe,Cytoskeletal_Axonal_Transport,54,3.1,1767
2,Cluster_2_Severe,Mitochondrial,628,35.5,1767
2,Cluster_2_Severe,Excitotoxicity,276,15.6,1767
2,Cluster_2_Severe,Vesicle_Trafficking,241,13.6,1767
2,Cluster_2_Severe,DNA_Damage,174,9.8,1767
4,Cluster_4_Moderate_ALS2,Proteostasis,153,24.7,619
4,Cluster_4_Moderate_ALS2,RNA_Metabolism,72,11.6,619
4,Cluster_4_Moderate_ALS2,Cytoskeletal_Axonal_Transport,74,12.0,619
4,Cluster_4_Moderate_ALS2,Mitochondrial,74,12.0,619
4,Cluster_4_Moderate_ALS2,Excitotoxicity,52,8.4,619
4,Cluster_4_Moderate_ALS2,Vesicle_Trafficking,200,32.3,619
4,Cluster_4_Moderate_ALS2,DNA_Damage,134,21.6,619
